line,cmp,depth,curve
20,10,0,0
20,10,1,0.198669
20,10,2,0.389418
20,10,3,0.564642
20,10,4,0.717356
20,10,5,0.841471
20,10,6,0.932039
20,10,7,0.98545
20,10,8,0.999574
20,10,9,0.973848
20,10,10,0.909297
20,10,11,0.808496
20,10,12,0.675463
20,10,13,0.515501
20,10,14,0.334988
20,10,15,0.14112
20,10,16,-0.0583741
20,10,17,-0.255541
20,10,18,-0.44252
20,10,19,-0.611858
20,10,20,-0.756802
20,10,21,-0.871576
20,10,22,-0.951602
20,10,23,-0.993691
20,10,24,-0.996165
20,10,25,-0.958924
20,10,26,-0.883455
20,10,27,-0.772764
20,10,28,-0.631267
20,10,29,-0.464602
20,10,30,-0.279415
20,10,31,-0.0830894
20,10,32,0.116549
20,10,33,0.311541
20,10,34,0.494113
20,10,35,0.656987
20,10,36,0.793668
20,10,37,0.898708
20,10,38,0.96792
20,10,39,0.998543
20,10,40,0.989358
20,10,41,0.940731
20,10,42,0.854599
20,10,43,0.734397
20,10,44,0.584917
20,10,45,0.412118
20,10,46,0.22289
20,10,47,0.0247754
20,10,48,-0.174327
20,10,49,-0.366479
