line,cmp,depth,curve
80,90,0,0.841471
80,90,1,0.932039
80,90,2,0.98545
80,90,3,0.999574
80,90,4,0.973848
80,90,5,0.909297
80,90,6,0.808496
80,90,7,0.675463
80,90,8,0.515501
80,90,9,0.334988
80,90,10,0.14112
80,90,11,-0.0583741
80,90,12,-0.255541
80,90,13,-0.44252
80,90,14,-0.611858
80,90,15,-0.756802
80,90,16,-0.871576
80,90,17,-0.951602
80,90,18,-0.993691
80,90,19,-0.996165
80,90,20,-0.958924
80,90,21,-0.883455
80,90,22,-0.772764
80,90,23,-0.631267
80,90,24,-0.464602
80,90,25,-0.279415
80,90,26,-0.0830894
80,90,27,0.116549
80,90,28,0.311541
80,90,29,0.494113
80,90,30,0.656987
80,90,31,0.793668
80,90,32,0.898708
80,90,33,0.96792
80,90,34,0.998543
80,90,35,0.989358
80,90,36,0.940731
80,90,37,0.854599
80,90,38,0.734397
80,90,39,0.584917
80,90,40,0.412118
80,90,41,0.22289
80,90,42,0.0247754
80,90,43,-0.174327
80,90,44,-0.366479
80,90,45,-0.544021
80,90,46,-0.699875
80,90,47,-0.827826
80,90,48,-0.922775
80,90,49,-0.980936
